student_id,date_registered,first_date_watched,first_date_purchased,days_diff_reg_watch,days_diff_watch_purch
255193,12/1/2021,12/1/2021,NULL,0,NULL
255194,12/1/2021,12/1/2021,NULL,0,NULL
255198,12/1/2021,2/17/2022,NULL,78,NULL
255199,12/1/2021,12/1/2021,NULL,0,NULL
255200,12/1/2021,12/1/2021,NULL,0,NULL
255202,12/1/2021,12/1/2021,NULL,0,NULL
255203,12/1/2021,12/1/2021,12/1/2021,0,0
255204,12/1/2021,12/1/2021,12/1/2021,0,0
255205,12/1/2021,12/1/2021,NULL,0,NULL
255206,12/1/2021,12/1/2021,12/2/2021,0,1
255207,12/1/2021,12/1/2021,12/1/2021,0,0
255209,12/1/2021,12/1/2021,NULL,0,NULL
255211,12/1/2021,12/2/2021,NULL,1,NULL
255215,12/1/2021,12/30/2021,NULL,29,NULL
255218,12/1/2021,12/1/2021,12/1/2021,0,0
255222,12/1/2021,12/1/2021,NULL,0,NULL
255227,12/1/2021,2/1/2022,NULL,62,NULL
255235,12/1/2021,12/1/2021,NULL,0,NULL
255238,12/1/2021,12/1/2021,NULL,0,NULL
255239,12/1/2021,12/1/2021,NULL,0,NULL
255241,12/1/2021,1/26/2022,3/21/2022,56,54
255243,12/1/2021,12/1/2021,12/1/2021,0,0
255245,12/1/2021,12/1/2021,NULL,0,NULL
255246,12/1/2021,12/1/2021,NULL,0,NULL
255253,12/1/2021,12/1/2021,NULL,0,NULL
255254,12/1/2021,12/3/2021,NULL,2,NULL
255260,12/1/2021,12/1/2021,NULL,0,NULL
255261,12/1/2021,12/7/2021,NULL,6,NULL
255262,12/1/2021,12/24/2021,12/24/2021,23,0
255268,12/1/2021,12/1/2021,12/28/2021,0,27
255269,12/1/2021,12/1/2021,12/1/2021,0,0
255271,12/1/2021,12/1/2021,12/1/2021,0,0
255272,12/1/2021,12/1/2021,12/1/2021,0,0
255279,12/1/2021,12/1/2021,12/1/2021,0,0
255280,12/1/2021,12/4/2021,12/4/2021,3,0
255283,12/1/2021,12/5/2021,NULL,4,NULL
255285,12/1/2021,12/7/2021,NULL,6,NULL
255286,12/1/2021,12/2/2021,NULL,1,NULL
255287,12/1/2021,12/1/2021,NULL,0,NULL
255294,12/1/2021,12/1/2021,NULL,0,NULL
255297,12/1/2021,12/1/2021,NULL,0,NULL
255301,12/1/2021,8/27/2022,NULL,269,NULL
255302,12/1/2021,12/1/2021,NULL,0,NULL
255306,12/1/2021,12/1/2021,12/2/2021,0,1
255309,12/1/2021,12/1/2021,NULL,0,NULL
255310,12/1/2021,12/1/2021,NULL,0,NULL
255312,12/1/2021,12/1/2021,12/1/2021,0,0
255315,12/1/2021,12/1/2021,12/1/2021,0,0
255318,12/1/2021,12/1/2021,12/1/2021,0,0
255319,12/1/2021,12/1/2021,NULL,0,NULL
255329,12/1/2021,6/6/2022,NULL,187,NULL
255331,12/1/2021,12/1/2021,NULL,0,NULL
255332,12/1/2021,12/1/2021,12/1/2021,0,0
255335,12/1/2021,12/1/2021,12/1/2021,0,0
255338,12/1/2021,12/1/2021,12/1/2021,0,0
255340,12/1/2021,12/1/2021,NULL,0,NULL
255344,12/1/2021,12/1/2021,12/1/2021,0,0
255345,12/1/2021,12/1/2021,NULL,0,NULL
255346,12/1/2021,12/1/2021,12/1/2021,0,0
255347,12/1/2021,12/1/2021,NULL,0,NULL
255348,12/1/2021,12/1/2021,12/1/2021,0,0
255349,12/1/2021,12/1/2021,12/1/2021,0,0
255351,12/1/2021,12/1/2021,NULL,0,NULL
255358,12/2/2021,12/2/2021,NULL,0,NULL
255361,12/2/2021,12/2/2021,NULL,0,NULL
255363,12/2/2021,12/2/2021,NULL,0,NULL
255365,12/2/2021,12/2/2021,NULL,0,NULL
255367,12/2/2021,12/2/2021,12/6/2021,0,4
255368,12/2/2021,12/2/2021,NULL,0,NULL
255372,12/2/2021,12/2/2021,12/2/2021,0,0
255375,12/2/2021,12/2/2021,NULL,0,NULL
255377,12/2/2021,12/2/2021,NULL,0,NULL
